feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper,abs_t
SALARY_FROM,0.9969693932847665,0.01923303064709001,51.83631282964807,0.0,0.9592726532164702,1.034666133353063,51.83631282964807
COMPANY_NAME_ohe_83,30150.21296966872,1698.9787829481936,17.74607974641675,0.0,26820.21455509026,33480.21138424718,17.74607974641675
COMPANY_NAME_ohe_19,17311.437440003025,1009.4516181183665,17.14934834843478,0.0,15332.912268491027,19289.962611515024,17.14934834843478
COMPANY_NAME_ohe_8,27691.16278515278,1817.4754630387301,15.236058669454888,0.0,24128.91087759687,31253.41469270869,15.236058669454888
COMPANY_NAME_ohe_5,-6846.177350426297,449.5074657264348,-15.230397429244933,0.0,-7727.211983250109,-5965.142717602485,15.230397429244933
COMPANY_NAME_ohe_7,16521.168586240805,1113.8476805933929,14.832520526899417,0.0,14338.027132277755,18704.310040203854,14.832520526899417
COMPANY_NAME_ohe_20,27976.679827844928,1893.5088285963122,14.7750458858882,0.0,24265.402523796154,31687.9571318937,14.7750458858882
COMPANY_NAME_ohe_12,-8827.896633917822,633.2003252671985,-13.941712095919435,0.0,-10068.969271441532,-7586.823996394113,13.941712095919435
COMPANY_NAME_ohe_26,-13486.788148918038,1030.0374781423664,-13.09349264964703,0.0,-15505.661606077076,-11467.914691759,13.09349264964703
COMPANY_NAME_ohe_14,10758.161211056824,872.2191732884769,12.334240682300022,0.0,9048.61163141141,12467.710790702238,12.334240682300022
COMPANY_NAME_ohe_23,-12861.251587465878,1112.8372474117302,-11.557172099854634,0.0,-15042.41259239287,-10680.090582538887,11.557172099854634
COMPANY_NAME_ohe_11,-12552.506832405135,1093.5592964185207,-11.478579052380084,0.0,-14695.883053385436,-10409.130611424835,11.478579052380084
COMPANY_NAME_ohe_54,-11694.512304838085,1033.3124957680077,-11.317498194141317,0.0,-13719.80479654338,-9669.21981313279,11.317498194141317
COMPANY_NAME_ohe_36,4943.270656971246,503.63144441975226,9.815254213657221,0.0,3956.153025908532,5930.388288033961,9.815254213657221
COMPANY_NAME_ohe_31,27707.414027014423,2956.6346506099176,9.371267437895556,0.0,21912.410111818986,33502.41794220986,9.371267437895556
COMPANY_NAME_ohe_109,10493.319675123328,1121.9451883992865,9.352791726032951,0.0,8294.307105860727,12692.332244385929,9.352791726032951
COMPANY_NAME_ohe_34,-10498.059815429442,1218.5686820359113,-8.61507436568115,0.0,-12886.454432219827,-8109.665198639056,8.61507436568115
COMPANY_NAME_ohe_22,-7511.833727234008,940.2516976257801,-7.9891732673305045,1.3322676295501878e-15,-9354.727054580537,-5668.940399887479,7.9891732673305045
COMPANY_NAME_ohe_21,-11382.982855869337,1623.8413218120436,-7.009910822547041,2.3847590568948362e-12,-14565.711846620943,-8200.253865117731,7.009910822547041
COMPANY_NAME_ohe_16,-6282.1220538029,945.427439309092,-6.644742676808498,3.037481377532458e-11,-8135.1598348487205,-4429.08427275708,6.644742676808498
COMPANY_NAME_ohe_6,-11462.284298569783,1767.5315392688242,-6.484910760523907,8.878431323466884e-11,-14926.646115536678,-7997.922481602887,6.484910760523907
COMPANY_NAME_ohe_24,-13439.961847027098,2129.326430010284,-6.311837235290498,2.757420958232615e-10,-17613.441649847256,-9266.482044206941,6.311837235290498
COMPANY_NAME_ohe_9,10325.221901032011,1645.2102177153597,6.275928625929792,3.4755354150206585e-10,7100.609874309906,13549.833927754116,6.275928625929792
