feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper
MAX_YEARS_EXPERIENCE,490.1577766912118,83.87066077224618,5.844210265878947,5.089770604982391e-09,325.7712815776093,654.5442718048143
DURATION,29.106141138965533,15.463032408312106,1.882304865591539,0.05979463426784504,-1.2014023813261936,59.41368465925726
SALARY_FROM,0.9969693932847665,0.01923303064709001,51.83631282964807,0.0,0.9592726532164702,1.034666133353063
MIN_YEARS_EXPERIENCE,490.1577766912118,83.87066077224618,5.844210265878947,5.089770604982391e-09,325.7712815776093,654.5442718048143
COMPANY_NAME_ohe_0,2568.2241469869195,424.9031147122846,6.0442582274925085,1.5009895548701024e-09,1735.4140421508419,3401.0342518229972
COMPANY_NAME_ohe_1,-5358.261470875756,1155.3348735998732,-4.637842753054021,3.5206446709068473e-06,-7622.7178231315065,-3093.805118620004
COMPANY_NAME_ohe_2,-5552.001328153713,1321.5521514383056,-4.201121629677055,2.6559584427765515e-05,-8142.243544972792,-2961.7591113346343
COMPANY_NAME_ohe_3,1957.5274701973556,1803.7253122764978,1.0852691686888525,0.2778024569795987,-1577.7741418645799,5492.829082259291
COMPANY_NAME_ohe_4,2497.540346886213,1030.5129495368406,2.4235894832847285,0.015367966634882269,477.73496579400535,4517.34572797842
COMPANY_NAME_ohe_5,-6846.177350426297,449.5074657264348,-15.230397429244933,0.0,-7727.211983250109,-5965.142717602485
COMPANY_NAME_ohe_6,-11462.284298569783,1767.5315392688242,-6.484910760523907,8.878431323466884e-11,-14926.646115536678,-7997.922481602887
COMPANY_NAME_ohe_7,16521.168586240805,1113.8476805933929,14.832520526899417,0.0,14338.027132277755,18704.310040203854
COMPANY_NAME_ohe_8,27691.16278515278,1817.4754630387301,15.236058669454888,0.0,24128.91087759687,31253.41469270869
COMPANY_NAME_ohe_9,10325.221901032011,1645.2102177153597,6.275928625929792,3.4755354150206585e-10,7100.609874309906,13549.833927754116
COMPANY_NAME_ohe_10,4.192068834245383,781.9551623501026,0.005361009219053509,0.9957225540030707,-1528.4400493719556,1536.8241870404465
COMPANY_NAME_ohe_11,-12552.506832405135,1093.5592964185207,-11.478579052380084,0.0,-14695.883053385436,-10409.130611424835
COMPANY_NAME_ohe_12,-8827.896633917822,633.2003252671985,-13.941712095919435,0.0,-10068.969271441532,-7586.823996394113
COMPANY_NAME_ohe_13,3203.736427220468,2615.923926205058,1.224705502758314,0.22068620007842377,-1923.4744681414454,8330.947322582382
COMPANY_NAME_ohe_14,10758.161211056824,872.2191732884769,12.334240682300022,0.0,9048.61163141141,12467.710790702238
COMPANY_NAME_ohe_15,4794.047518883648,2216.2131804250175,2.1631707460399916,0.030528049391653322,450.2696852506142,9137.825352516682
COMPANY_NAME_ohe_16,-6282.1220538029,945.427439309092,-6.644742676808498,3.037481377532458e-11,-8135.1598348487205,-4429.08427275708
COMPANY_NAME_ohe_17,4764.2048974634245,1913.5876918003516,2.489671582795947,0.012786118415903491,1013.5730215347353,8514.836773392113
COMPANY_NAME_ohe_18,-6727.151243230561,1797.2528386608617,-3.7430188443841774,0.00018182258740995216,-10249.76680700585,-3204.5356794552717
COMPANY_NAME_ohe_19,17311.437440003025,1009.4516181183665,17.14934834843478,0.0,15332.912268491027,19289.962611515024
COMPANY_NAME_ohe_20,27976.679827844928,1893.5088285963122,14.7750458858882,0.0,24265.402523796154,31687.9571318937
COMPANY_NAME_ohe_21,-11382.982855869337,1623.8413218120436,-7.009910822547041,2.3847590568948362e-12,-14565.711846620943,-8200.253865117731
COMPANY_NAME_ohe_22,-7511.833727234008,940.2516976257801,-7.9891732673305045,1.3322676295501878e-15,-9354.727054580537,-5668.940399887479
COMPANY_NAME_ohe_23,-12861.251587465878,1112.8372474117302,-11.557172099854634,0.0,-15042.41259239287,-10680.090582538887
COMPANY_NAME_ohe_24,-13439.961847027098,2129.326430010284,-6.311837235290498,2.757420958232615e-10,-17613.441649847256,-9266.482044206941
COMPANY_NAME_ohe_25,17546.408069157966,3010.6512397698934,5.828110488978143,5.605846009615334e-09,11645.531639208974,23447.284499106958
COMPANY_NAME_ohe_26,-13486.788148918038,1030.0374781423664,-13.09349264964703,0.0,-15505.661606077076,-11467.914691759
COMPANY_NAME_ohe_27,13116.545012354454,2451.9248242493536,5.349489055550481,8.820289454369856e-08,8310.77235682572,17922.317667883188
COMPANY_NAME_ohe_28,23289.25033833009,4408.597695792383,5.282688951309306,1.2730142762151786e-07,14648.398854577019,31930.10182208316
COMPANY_NAME_ohe_29,-4302.278248068295,3306.6351510677264,-1.3011046128506412,0.19322264904847541,-10783.28314416104,2178.726648024448
COMPANY_NAME_ohe_30,-8721.671289628997,2374.3130143522226,-3.6733451894962164,0.0002393957374571265,-13375.324797759353,-4068.017781498641
COMPANY_NAME_ohe_31,27707.414027014423,2956.6346506099176,9.371267437895556,0.0,21912.410111818986,33502.41794220986
COMPANY_NAME_ohe_32,16966.621424669884,3424.461454390701,4.954537129602085,7.250267168856794e-07,10254.67697406411,23678.565875275657
COMPANY_NAME_ohe_33,-748.9989407493631,1879.9811957669856,-0.3984076768617838,0.6903296999923962,-4433.7620844526555,2935.764202953929
COMPANY_NAME_ohe_34,-10498.059815429442,1218.5686820359113,-8.61507436568115,0.0,-12886.454432219827,-8109.665198639056
COMPANY_NAME_ohe_35,-8588.6519296507,2387.1141795290364,-3.597922547360173,0.000320769103848928,-13267.39572152761,-3909.9081377737884
COMPANY_NAME_ohe_36,4943.270656971246,503.63144441975226,9.815254213657221,0.0,3956.153025908532,5930.388288033961
COMPANY_NAME_ohe_37,-1983.6213105645254,2673.1366787993347,-0.7420575709041141,0.4580524552784613,-7222.969201011221,3255.72657988217
COMPANY_NAME_ohe_38,-1359.847068517782,1619.5971712160604,-0.8396205505204437,0.4011211730517621,-4534.25752410126,1814.5633870656964
COMPANY_NAME_ohe_39,-6237.101013044187,1125.85131432504,-5.5398976167500384,3.026485329016282e-08,-8443.769589121266,-4030.432436967109
COMPANY_NAME_ohe_40,18168.020397273798,9005.574269935338,2.0174194174298057,0.043651762603794,517.0948282005374,35818.94596634706
COMPANY_NAME_ohe_41,-9123.023472749666,3159.060460387579,-2.887891380094188,0.003878337758323358,-15314.781975109321,-2931.2649703900115
COMPANY_NAME_ohe_42,1734.132648715701,1811.7098770727416,0.9571801040890799,0.3384763574680847,-1816.8187103468724,5285.084007778274
COMPANY_NAME_ohe_43,24445.67858428185,5322.602003340995,4.592806031511901,4.373255085621253e-06,14013.3786577335,34877.9785108302
COMPANY_NAME_ohe_44,5354.91522518352,1206.8268315334856,4.437186086075961,9.114249767572247e-06,2989.5346353778887,7720.295814989152
COMPANY_NAME_ohe_45,13496.361632017228,3419.286824869442,3.9471276682185197,7.90943855211168e-05,6794.559455273121,20198.163808761336
COMPANY_NAME_ohe_46,20948.072934417247,6091.0831370968,3.4391375824171972,0.0005835705730448115,9009.54998570752,32886.595883126975
COMPANY_NAME_ohe_47,-7596.47018514766,3007.968189564507,-2.525448976322943,0.011555055954794557,-13492.087836694094,-1700.8525336012262
COMPANY_NAME_ohe_48,2980.6131737729993,6083.580744215402,0.48994388323145505,0.6241736089945245,-8943.205084889189,14904.431432435187
COMPANY_NAME_ohe_49,-5303.757220581149,1301.2491993194806,-4.075896625607821,4.583738004093618e-05,-7854.205651247332,-2753.3087899149673
COMPANY_NAME_ohe_50,29014.708198288998,4927.625392823797,5.8881724736104575,3.904895073958414e-09,19356.56242835436,38672.85396822364
COMPANY_NAME_ohe_51,-5110.448987778519,3057.671558214262,-1.671353149114262,0.09465194412692757,-11103.485241878472,882.5872663214341
COMPANY_NAME_ohe_52,4204.856470484679,2393.2380759588377,1.7569737472942497,0.07892228406630242,-485.89015839464264,8895.603099364002
COMPANY_NAME_ohe_53,-13119.896822281627,3095.477231850878,-4.238408439023424,2.251099549810398e-05,-19187.032196709348,-7052.761447853906
COMPANY_NAME_ohe_54,-11694.512304838085,1033.3124957680077,-11.317498194141317,0.0,-13719.80479654338,-9669.21981313279
COMPANY_NAME_ohe_55,-7050.720831865324,3579.9009861868058,-1.969529564943505,0.04889231097177893,-14067.326764791462,-34.11489893918497
COMPANY_NAME_ohe_56,-10422.74383668743,1702.4765284887326,-6.122107213977024,9.234586428874536e-10,-13759.597832525345,-7085.889840849515
COMPANY_NAME_ohe_57,3462.357673250729,2454.814223763286,1.4104357224812132,0.1584110635941154,-1349.0782053253115,8273.79355182677
