feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper,abs_t
COMPANY_NAME_ohe_5,-6846.177350426297,449.5074657264348,-15.230397429244933,0.0,-7727.211983250109,-5965.142717602485,15.230397429244933
COMPANY_NAME_ohe_12,-8827.896633917822,633.2003252671985,-13.941712095919435,0.0,-10068.969271441532,-7586.823996394113,13.941712095919435
COMPANY_NAME_ohe_26,-13486.788148918038,1030.0374781423664,-13.09349264964703,0.0,-15505.661606077076,-11467.914691759,13.09349264964703
COMPANY_NAME_ohe_23,-12861.251587465878,1112.8372474117302,-11.557172099854634,0.0,-15042.41259239287,-10680.090582538887,11.557172099854634
COMPANY_NAME_ohe_11,-12552.506832405135,1093.5592964185207,-11.478579052380084,0.0,-14695.883053385436,-10409.130611424835,11.478579052380084
COMPANY_NAME_ohe_54,-11694.512304838085,1033.3124957680077,-11.317498194141317,0.0,-13719.80479654338,-9669.21981313279,11.317498194141317
COMPANY_NAME_ohe_34,-10498.059815429442,1218.5686820359113,-8.61507436568115,0.0,-12886.454432219827,-8109.665198639056,8.61507436568115
COMPANY_NAME_ohe_22,-7511.833727234008,940.2516976257801,-7.9891732673305045,1.3322676295501878e-15,-9354.727054580537,-5668.940399887479,7.9891732673305045
COMPANY_NAME_ohe_21,-11382.982855869337,1623.8413218120436,-7.009910822547041,2.3847590568948362e-12,-14565.711846620943,-8200.253865117731,7.009910822547041
COMPANY_NAME_ohe_16,-6282.1220538029,945.427439309092,-6.644742676808498,3.037481377532458e-11,-8135.1598348487205,-4429.08427275708,6.644742676808498
COMPANY_NAME_ohe_6,-11462.284298569783,1767.5315392688242,-6.484910760523907,8.878431323466884e-11,-14926.646115536678,-7997.922481602887,6.484910760523907
COMPANY_NAME_ohe_24,-13439.961847027098,2129.326430010284,-6.311837235290498,2.757420958232615e-10,-17613.441649847256,-9266.482044206941,6.311837235290498
COMPANY_NAME_ohe_56,-10422.74383668743,1702.4765284887326,-6.122107213977024,9.234586428874536e-10,-13759.597832525345,-7085.889840849515,6.122107213977024
COMPANY_NAME_ohe_39,-6237.101013044187,1125.85131432504,-5.5398976167500384,3.026485329016282e-08,-8443.769589121266,-4030.432436967109,5.5398976167500384
COMPANY_NAME_ohe_104,-3889.0536449069796,709.213858499671,-5.48361202801959,4.167281675293566e-08,-5279.112807566335,-2498.9944822476245,5.48361202801959
